id,churn_true,p_churn,rank,decile,gender,customer_age,income_category,card_category,months_inactive_12_mon,total_trans_ct
721233033,1,0.9866852261954476,69,10,M,37,$60K - $80K,Blue,3,43
805313808,1,0.9866840182841424,70,10,F,33,Less than $40K,Blue,1,99
789560433,1,0.9864674248535816,71,10,F,28,Unknown,Blue,3,51
713693958,0,0.9862966129446814,72,10,F,42,Unknown,Blue,3,79
713114133,1,0.9859785779125018,73,10,F,50,Less than $40K,Blue,3,69
717202083,1,0.9858032412752805,74,10,M,50,$80K - $120K,Blue,2,36
715773783,1,0.9855409789564546,75,10,M,58,$40K - $60K,Silver,2,61
772336458,1,0.9854291580490927,76,10,F,42,Less than $40K,Blue,3,78
713347608,1,0.9851582677828796,77,10,M,52,$120K +,Blue,2,71
708373083,1,0.9849968719060846,78,10,M,56,Less than $40K,Blue,2,42
715076358,1,0.9842753311478133,79,10,M,35,$60K - $80K,Blue,2,77
719577258,1,0.9838199033875323,80,10,M,42,$60K - $80K,Blue,3,68
779844408,1,0.9837995537649816,81,10,F,26,Unknown,Blue,2,45
710251608,0,0.9835446488205966,82,10,F,31,Less than $40K,Silver,3,124
787665258,1,0.9832453038676802,83,10,F,48,Less than $40K,Blue,2,82
711801933,1,0.9828010249157518,84,10,M,59,$40K - $60K,Blue,1,113
761079783,1,0.9820142481865716,85,10,F,48,Less than $40K,Blue,2,88
778643733,1,0.9820007521113665,86,10,M,45,$60K - $80K,Blue,5,99
710844408,0,0.9817750688026604,87,10,F,44,Less than $40K,Blue,3,40
714608583,1,0.9806623946579117,88,10,M,51,$60K - $80K,Blue,3,71
717580458,1,0.9804346308690963,89,10,M,44,$60K - $80K,Blue,1,88
709309308,1,0.9804187667179921,90,10,F,48,$40K - $60K,Blue,1,72
719073483,1,0.9785010240042967,91,10,M,36,$60K - $80K,Blue,3,87
789964983,1,0.9783465238259289,92,10,F,54,Less than $40K,Blue,4,36
779610033,1,0.9781633672654202,93,10,M,42,$60K - $80K,Blue,2,37
709444983,1,0.9772348262239083,94,10,F,62,$40K - $60K,Blue,1,32
711382458,1,0.9771885449521001,95,10,M,47,$60K - $80K,Blue,3,79
758348808,0,0.9770940987868953,96,10,M,57,$80K - $120K,Blue,3,54
715570533,1,0.9767906443821143,97,10,F,32,Less than $40K,Blue,1,67
711935283,1,0.9766140675791797,98,10,M,51,$80K - $120K,Blue,1,93
811700058,1,0.9765164077576666,99,10,F,41,Less than $40K,Blue,1,66
711245433,1,0.9762081092769225,100,10,F,55,Less than $40K,Blue,1,82
711237633,1,0.9758716452273778,101,10,F,37,$40K - $60K,Blue,3,81
711221958,1,0.9758219366763135,102,10,M,60,$60K - $80K,Blue,1,44
714945708,1,0.9756868267297093,103,10,M,52,$80K - $120K,Blue,1,66
785432733,0,0.975487252561289,104,10,M,42,$40K - $60K,Blue,3,77
826709658,1,0.9748847027114934,105,10,F,54,Unknown,Blue,3,87
712373208,1,0.9745068076638751,106,10,F,47,$40K - $60K,Blue,1,67
806914158,1,0.9743126369831154,107,10,F,36,Less than $40K,Blue,1,30
714276408,1,0.9738556436414487,108,10,F,33,Unknown,Blue,2,31
809811858,1,0.9737102950773158,109,10,F,40,Less than $40K,Blue,1,100
713253858,1,0.971176796310612,110,10,M,47,$60K - $80K,Blue,3,96
709534083,1,0.9710535047054965,111,10,M,29,$80K - $120K,Blue,3,48
710410158,1,0.9705113689266426,112,10,F,40,Less than $40K,Blue,3,79
817108083,1,0.9700521660151028,113,10,F,53,$40K - $60K,Blue,2,64
795237183,0,0.9699812348833688,114,10,F,39,Less than $40K,Blue,2,36
714938733,1,0.9698993420554641,115,10,M,49,$80K - $120K,Blue,2,33
713668158,1,0.9694721714020393,116,10,F,35,Less than $40K,Blue,6,59
717429258,1,0.9692885519777809,117,10,F,43,Less than $40K,Blue,2,48
718731183,1,0.9691325088704973,118,10,M,27,$40K - $60K,Blue,1,49
720401658,1,0.9686904134053992,119,10,F,51,Unknown,Blue,3,91
778708533,1,0.9685609793548284,120,10,M,41,$80K - $120K,Blue,3,99
789241308,1,0.9675898097472542,121,10,M,38,$80K - $120K,Silver,2,86
720731808,1,0.9672086779081323,122,10,M,39,$60K - $80K,Blue,2,27
779348358,1,0.9669625291349642,123,10,F,38,$40K - $60K,Blue,3,43
719420883,1,0.9668689055606355,124,10,F,30,Unknown,Blue,2,75
794507133,1,0.9656943345064488,125,10,M,37,$60K - $80K,Blue,3,77
720761208,1,0.9656852797835538,126,10,F,65,Unknown,Blue,3,61
709649958,1,0.9656222355326851,127,10,F,54,Unknown,Blue,2,41
711734508,0,0.9655074391420206,128,10,F,29,Less than $40K,Blue,1,75
720597108,1,0.9654252274927116,129,10,F,57,Less than $40K,Blue,3,43
717195933,1,0.9651015801744788,130,10,M,51,$60K - $80K,Blue,3,74
721344858,0,0.9644157676769848,131,10,M,42,$60K - $80K,Blue,3,55
708564858,1,0.964175729632672,132,10,F,51,Less than $40K,Blue,2,83
709319658,1,0.9638127739743797,133,10,F,59,Less than $40K,Blue,2,23
716875083,0,0.9635781976278752,134,10,F,46,$40K - $60K,Blue,3,83
819634233,1,0.9634640633173881,135,10,F,44,Less than $40K,Blue,2,37
712562433,1,0.9611007038136082,136,10,M,57,$120K +,Blue,2,43
720997383,1,0.9609308385780073,137,10,F,55,Less than $40K,Blue,2,77
714514008,1,0.9604012358947659,138,10,F,50,Less than $40K,Blue,3,34
803115258,1,0.9591499843140439,139,10,M,50,$80K - $120K,Silver,2,83
713847858,1,0.9590724724279365,140,10,M,57,$80K - $120K,Blue,1,36
772273983,1,0.9582458564027019,141,10,F,37,Unknown,Blue,2,79
718452633,1,0.9563993767529062,142,10,M,58,$60K - $80K,Blue,2,78
708702258,1,0.956363819547979,143,10,F,52,Less than $40K,Blue,2,95
711242058,1,0.9553713362393638,144,10,F,44,Less than $40K,Blue,2,37
710500983,1,0.9552356284305447,145,10,F,63,$40K - $60K,Blue,1,35
710905908,0,0.9545575218446655,146,10,M,51,$120K +,Blue,1,70
711551958,1,0.9545178107263768,147,10,M,47,$60K - $80K,Blue,4,67
715400733,1,0.9543977919774466,148,10,F,56,Less than $40K,Blue,3,45
714915633,1,0.9532641684920139,149,10,F,53,Less than $40K,Blue,1,34
755420433,0,0.9531183079739135,150,10,M,53,$40K - $60K,Blue,3,36
780143283,1,0.9529291241489474,151,10,M,52,$120K +,Blue,2,47
711102858,1,0.9525877696048365,152,10,F,43,Unknown,Blue,3,67
720128658,1,0.952515611605091,153,10,F,39,Less than $40K,Blue,2,65
720179883,0,0.9524829127964958,154,10,F,52,Less than $40K,Blue,3,36
770038983,1,0.9522700224390778,155,10,F,46,Unknown,Blue,3,77
716944983,0,0.9520367641427977,156,10,F,46,Less than $40K,Blue,5,86
708953883,1,0.9509923829144143,157,10,F,48,Less than $40K,Blue,2,81
713025558,1,0.9505597962463749,158,10,M,39,$120K +,Blue,3,38
708642708,1,0.9491459472891275,159,10,F,38,$40K - $60K,Blue,2,64
719018208,1,0.9491341980367312,160,10,F,35,Unknown,Blue,3,82
714443058,1,0.9480759687110877,161,10,F,65,Less than $40K,Silver,1,83
721228308,1,0.9479808462391633,162,10,F,49,$40K - $60K,Blue,2,49
812449758,1,0.9479198125399438,163,10,M,36,$40K - $60K,Blue,3,42
789095958,1,0.9477017311971082,164,10,F,46,Less than $40K,Blue,2,106
714892533,0,0.9470169747305368,165,10,F,43,Less than $40K,Blue,2,64
713334483,1,0.9466117171150051,166,10,F,55,Less than $40K,Blue,2,49
715660308,1,0.9454274655800858,167,10,F,54,Less than $40K,Silver,5,50
710015733,1,0.9452201823291605,168,10,M,50,$80K - $120K,Blue,4,45
714503433,1,0.9446979700110413,169,10,F,41,$40K - $60K,Blue,3,51
714479358,1,0.9445556950091339,170,10,F,47,Less than $40K,Blue,4,55
714595983,1,0.9444804210966306,171,10,F,38,Less than $40K,Blue,3,87
713144208,1,0.9443483517700924,172,10,F,48,$40K - $60K,Blue,1,93
720618033,0,0.9440642207599593,173,10,F,32,Unknown,Blue,1,71
827117808,1,0.9422837125650794,174,10,F,54,Less than $40K,Blue,2,37
714477408,1,0.9422173229723283,175,10,F,46,Unknown,Blue,3,41
711816108,1,0.9422146068270362,176,10,M,50,$120K +,Blue,3,88
796931508,1,0.9403663530413487,177,10,F,54,Less than $40K,Blue,2,22
708384033,1,0.9392636947529633,178,10,M,42,$60K - $80K,Blue,4,27
713492583,1,0.9374735083060772,179,10,F,56,Less than $40K,Blue,3,47
769137108,1,0.9372727666703071,180,10,F,47,Less than $40K,Blue,2,38
718939083,1,0.9369077431968739,181,10,F,30,Less than $40K,Blue,1,87
716436483,0,0.9368016061718983,182,10,F,46,Less than $40K,Blue,2,41
717489033,1,0.9367334996126708,183,10,F,47,Unknown,Blue,2,82
714919308,1,0.9367229821318303,184,10,M,43,$80K - $120K,Blue,3,25
712925808,1,0.9364864981385876,185,10,M,30,Less than $40K,Blue,4,53
716987358,1,0.9364751388786885,186,10,M,62,$60K - $80K,Blue,2,70
762020133,1,0.9359094979905509,187,10,M,41,$60K - $80K,Blue,1,66
720508233,1,0.9359001041404629,188,10,M,57,$80K - $120K,Blue,6,35
713685033,1,0.9358366496574303,189,10,F,57,Less than $40K,Blue,3,72
789122808,1,0.9342228381591231,190,10,M,38,$60K - $80K,Blue,2,39
715162608,1,0.9335082905136922,191,10,M,51,$80K - $120K,Blue,2,43
713512308,1,0.9329590401703045,192,10,M,43,$40K - $60K,Blue,1,82
738627708,1,0.9323965481202331,193,10,M,48,$80K - $120K,Blue,3,69
715222533,1,0.9319822337688282,194,10,F,46,Unknown,Silver,1,113
717502083,1,0.9285706570673918,195,10,F,49,$40K - $60K,Blue,2,57
709618308,0,0.9283113613257586,196,10,M,43,$60K - $80K,Blue,2,31
712235433,1,0.9275396947399204,197,10,M,46,$80K - $120K,Blue,4,63
717042333,1,0.9273835516284067,198,10,M,44,$60K - $80K,Blue,2,67
712110333,1,0.9271656147671439,199,10,F,35,Less than $40K,Blue,1,53
721051908,0,0.9267594150177275,200,10,M,55,$80K - $120K,Blue,2,10
715294083,1,0.9259268953829902,201,10,M,63,Unknown,Blue,3,68
716643033,1,0.9255057057718593,202,10,M,45,$60K - $80K,Blue,3,51
719466558,0,0.9234715213680719,203,10,F,51,Less than $40K,Blue,2,73
713188383,0,0.9224734531226092,204,10,F,51,Less than $40K,Blue,1,66
714962658,1,0.9220721187263977,205,10,M,52,$80K - $120K,Blue,2,79
772137183,1,0.9216142855120716,206,10,M,44,$40K - $60K,Silver,1,97
767404083,1,0.920602342904936,207,10,M,59,$60K - $80K,Silver,2,86
779315508,1,0.9197909016624702,208,10,F,43,$40K - $60K,Blue,3,37
708874533,1,0.9197293199787174,209,10,F,56,Unknown,Blue,2,138
814459833,0,0.9183836730964137,210,10,F,51,Less than $40K,Blue,2,59
720650208,0,0.9175585949075383,211,10,M,44,$80K - $120K,Blue,3,59
808681158,0,0.9167560084155872,212,10,F,48,$40K - $60K,Gold,2,64
770632758,0,0.9161341014804332,213,10,M,44,$120K +,Blue,1,95
714045783,1,0.9154931824555941,214,10,M,58,$120K +,Blue,1,34
709996833,1,0.9144363976325542,215,10,F,37,Unknown,Blue,3,47
711861258,0,0.912188235588565,216,10,F,51,Unknown,Silver,2,72
816476658,1,0.9118915125369708,217,10,F,45,Less than $40K,Blue,1,72
709839858,0,0.9096765616407647,218,10,M,42,$60K - $80K,Blue,2,60
771342183,1,0.9079783147083004,219,10,M,42,$120K +,Blue,2,65
708736608,1,0.907372273189092,220,10,F,44,Less than $40K,Blue,3,70
721062408,0,0.9066585000214041,221,10,F,31,Less than $40K,Blue,1,114
716022258,1,0.9066419869500194,222,10,F,55,Less than $40K,Blue,3,26
712843983,1,0.9060984723819483,223,10,M,37,$40K - $60K,Blue,1,51
789942033,1,0.9055304199241404,224,10,F,49,Less than $40K,Blue,6,93
789513858,1,0.9054451860145653,225,10,F,48,Unknown,Blue,4,76
713823033,1,0.9033366757193604,226,10,M,51,$40K - $60K,Blue,3,85
737921733,1,0.9026154879013117,227,10,F,48,Less than $40K,Blue,2,41
716657058,0,0.9019136343278623,228,10,M,38,$80K - $120K,Blue,1,76
719694408,1,0.9016027697144777,229,10,M,32,$80K - $120K,Blue,1,69
802668333,1,0.8999744071258587,230,10,M,32,$80K - $120K,Silver,3,119
708888633,1,0.899929800207163,231,10,F,37,$40K - $60K,Blue,1,63
712046808,1,0.8981500130479593,232,10,F,27,Less than $40K,Blue,3,61
718342158,1,0.8970325086974325,233,10,F,30,Less than $40K,Blue,3,64
713229633,1,0.8934530523258776,234,10,M,48,$60K - $80K,Blue,2,37
820694133,1,0.8921177028211078,235,10,F,57,Less than $40K,Blue,2,71
708197358,1,0.8917281171241356,236,10,F,50,Less than $40K,Blue,4,68
713952558,1,0.8915257353119856,237,10,M,36,$80K - $120K,Blue,4,50
812446158,0,0.8914955910057782,238,10,M,55,$120K +,Blue,2,61
779916408,0,0.8873796393538659,239,10,M,46,$60K - $80K,Blue,3,43
779070033,0,0.8863833278535611,240,10,M,47,$60K - $80K,Blue,1,50
826261008,1,0.8853417308290261,241,10,M,43,$60K - $80K,Blue,1,96
719091333,0,0.8853300373117834,242,10,F,49,Less than $40K,Blue,2,80
716107158,1,0.8830477383316879,243,10,M,56,$120K +,Blue,3,38
719123958,1,0.8830160555619135,244,10,F,47,Unknown,Blue,3,64
718921683,0,0.8820526814888043,245,10,M,61,$60K - $80K,Blue,2,80
709707033,1,0.8780541171096963,246,10,M,52,$80K - $120K,Blue,3,38
715547058,1,0.8774414005172754,247,10,M,36,$60K - $80K,Silver,3,108
720654183,1,0.8772879745095276,248,10,F,45,Unknown,Blue,3,108
815062383,0,0.8767416940191791,249,10,F,48,Less than $40K,Blue,3,42
712795833,1,0.875734320382848,250,10,M,46,$40K - $60K,Blue,3,25
807136758,1,0.8747440586132857,251,10,F,39,Less than $40K,Blue,3,74
719881533,1,0.8735699671243395,252,10,F,49,Less than $40K,Blue,2,66
709103358,0,0.8735664204456638,253,10,M,56,$80K - $120K,Blue,1,118
713573508,1,0.8691333235572615,254,10,M,42,$80K - $120K,Blue,2,83
772468983,0,0.8686831671038215,255,9,F,45,Less than $40K,Blue,1,87
715043508,0,0.8684474411557065,256,9,F,33,Unknown,Blue,2,74
712757808,0,0.8679717525720159,257,9,F,46,$40K - $60K,Blue,2,64
719854008,0,0.8674389092738568,258,9,M,50,$120K +,Blue,1,35
772601283,0,0.8673964576878236,259,9,F,52,Unknown,Blue,2,63
828294933,1,0.8670286373873224,260,9,M,35,$40K - $60K,Blue,3,65
711252258,0,0.8667700136741813,261,9,M,52,$60K - $80K,Blue,3,90
769438608,1,0.8657203939125027,262,9,M,47,$60K - $80K,Blue,5,107
802247658,1,0.8648183523454513,263,9,F,42,Less than $40K,Blue,3,74
715371108,1,0.8622181535190808,264,9,M,29,$40K - $60K,Blue,1,41
798110358,0,0.8613049890062039,265,9,M,43,$60K - $80K,Blue,1,86
719358333,0,0.8598384042985874,266,9,M,36,$80K - $120K,Blue,3,43
708498033,1,0.8597656141193502,267,9,F,56,Unknown,Blue,1,78
709823733,1,0.8593669210476589,268,9,M,47,$60K - $80K,Blue,5,108
713843283,0,0.8590114807415559,269,9,F,61,Less than $40K,Blue,2,50
778929783,1,0.8579888685889606,270,9,F,62,$40K - $60K,Blue,2,56
778506633,1,0.8544641587843831,271,9,F,41,Less than $40K,Blue,3,57
709547658,1,0.8541423436817462,272,9,F,39,Unknown,Blue,2,35
826723308,0,0.8517177110244426,273,9,F,45,Unknown,Blue,1,82
713945883,1,0.850153865462646,274,9,M,41,Less than $40K,Blue,2,68
808705758,0,0.850022777418984,275,9,M,55,$60K - $80K,Blue,2,18
708190158,1,0.848539189400107,276,9,F,46,Less than $40K,Blue,3,66
716056158,1,0.8482147785325717,277,9,M,42,$60K - $80K,Blue,2,62
714496083,0,0.8473148402315561,278,9,M,37,$40K - $60K,Silver,1,68
712010358,1,0.8466636682153633,279,9,F,58,Unknown,Blue,3,62
711039633,0,0.8465052243961276,280,9,F,47,Unknown,Blue,2,86
804337233,0,0.8457999380892977,281,9,M,53,$120K +,Blue,3,33
809440008,1,0.8457367022559681,282,9,M,34,$120K +,Blue,2,45
827055333,0,0.8439221073295552,283,9,M,35,$80K - $120K,Blue,3,29
710555433,1,0.84378554699965,284,9,M,37,$80K - $120K,Blue,3,37
794054058,0,0.842986925608389,285,9,F,47,$40K - $60K,Blue,1,59
720801033,0,0.8424482115064428,286,9,F,40,Less than $40K,Blue,1,82
718263108,1,0.842370439673254,287,9,F,48,Less than $40K,Blue,1,86
778399008,0,0.8421104425855166,288,9,M,52,$60K - $80K,Blue,3,27
713796033,1,0.842011570725473,289,9,F,44,Less than $40K,Blue,3,45
772382283,1,0.8415189851613515,290,9,F,36,Less than $40K,Blue,1,78
713539833,0,0.8411684838842404,291,9,M,47,$60K - $80K,Blue,3,26
711794358,1,0.8394091650860797,292,9,F,44,$40K - $60K,Blue,3,78
713373708,1,0.8375127654843679,293,9,F,55,Less than $40K,Blue,1,34
709465758,0,0.836749650607742,294,9,M,44,Unknown,Blue,3,60
711574008,0,0.8356775895259411,295,9,M,55,$120K +,Blue,2,78
708867408,1,0.8345656854509208,296,9,M,46,$80K - $120K,Blue,3,69
714878508,0,0.832367719651076,297,9,F,43,Unknown,Blue,1,86
717831783,0,0.8304515605585985,298,9,M,61,$120K +,Blue,3,74
713533983,0,0.8302320887545153,299,9,M,37,Less than $40K,Blue,2,104
721265883,0,0.8299309458966105,300,9,F,30,Less than $40K,Blue,2,35
712563408,1,0.8294302098316657,301,9,M,49,$80K - $120K,Blue,3,50
712998033,1,0.8290887926737688,302,9,F,57,Less than $40K,Blue,3,42
712777233,1,0.8281856220313712,303,9,F,46,Less than $40K,Blue,3,41
817086783,0,0.8275391226920049,304,9,M,56,$40K - $60K,Blue,2,29
714187533,0,0.8251845745172782,305,9,F,54,Less than $40K,Blue,2,92
812979408,1,0.8242520969184617,306,9,M,51,$120K +,Silver,2,104
716950758,1,0.8239204132786304,307,9,F,52,Less than $40K,Blue,3,47
713134458,0,0.8229469942839782,308,9,F,29,Unknown,Blue,1,69
708664008,0,0.8225987323106099,309,9,M,35,$60K - $80K,Blue,2,59
712924383,1,0.8205103509977134,310,9,F,57,$40K - $60K,Silver,3,22
778386033,0,0.8184935829980158,311,9,M,40,$80K - $120K,Blue,3,82
709044183,0,0.8180125828500502,312,9,F,44,Less than $40K,Blue,1,77
794831733,0,0.8176828221047658,313,9,F,52,Unknown,Blue,4,74
712927383,1,0.817024100050066,314,9,F,47,Less than $40K,Blue,1,127
711593808,1,0.814487937439144,315,9,M,62,$60K - $80K,Blue,3,92
719519058,1,0.8140818245634437,316,9,F,30,Unknown,Blue,1,82
809459733,0,0.8138426821036042,317,9,M,31,Less than $40K,Blue,3,50
713314533,1,0.8115919082321602,318,9,M,54,$80K - $120K,Blue,2,37
709554483,0,0.8086936585465199,319,9,M,29,$40K - $60K,Blue,1,102
786557358,0,0.8078027159428007,320,9,F,41,$40K - $60K,Blue,2,45
711323283,1,0.807506468904318,321,9,F,49,Less than $40K,Blue,3,88
789692283,0,0.8068165378668903,322,9,F,48,Unknown,Blue,2,67
717074283,1,0.8052877185548455,323,9,M,49,$60K - $80K,Blue,6,73
718632933,0,0.8049786006858369,324,9,M,62,$60K - $80K,Silver,5,45
710975883,0,0.80371528380129,325,9,F,43,Less than $40K,Blue,3,93
803805483,0,0.8030489435022315,326,9,F,46,$40K - $60K,Blue,2,80
708385533,1,0.8028613393762895,327,9,F,50,Less than $40K,Blue,1,29
787565433,0,0.8022484625556664,328,9,F,46,Less than $40K,Blue,3,89
716354883,1,0.8020796284519502,329,9,F,41,Unknown,Blue,1,90
771823308,0,0.8019458873593394,330,9,F,53,Less than $40K,Blue,1,45
721527858,1,0.8018886772240843,331,9,M,39,$60K - $80K,Blue,2,57
711029358,0,0.8012035678847405,332,9,M,47,$80K - $120K,Blue,2,69
711772008,1,0.8011845510469467,333,9,F,49,Unknown,Blue,2,84
763895958,1,0.7998534954650449,334,9,M,41,$40K - $60K,Blue,2,69
713096583,1,0.7942231513603345,335,9,F,31,Unknown,Blue,3,83
799723908,0,0.7910707417667325,336,9,F,44,Less than $40K,Blue,1,78
827111283,0,0.7898269688970659,337,9,F,45,Less than $40K,Blue,3,47
715485483,1,0.7866624235714664,338,9,M,41,$60K - $80K,Gold,3,57
718435158,0,0.7846975841050344,339,9,F,38,$40K - $60K,Blue,3,34
708494583,0,0.7842572407849648,340,9,M,42,$60K - $80K,Silver,3,80
755996583,1,0.7836920771693692,341,9,M,43,$60K - $80K,Blue,2,72
780006783,1,0.7832756843933694,342,9,M,51,$40K - $60K,Blue,3,32
793550958,0,0.7826020125827573,343,9,F,42,Less than $40K,Blue,3,94
788979258,0,0.7805860623613627,344,9,M,49,$60K - $80K,Blue,2,72
812809083,0,0.7770991617768337,345,9,M,38,$60K - $80K,Blue,4,77
720330558,1,0.7763515095697975,346,9,F,42,Less than $40K,Blue,2,82
711116133,1,0.7757702871311097,347,9,M,35,$60K - $80K,Blue,3,59
821837958,0,0.7757489856707062,348,9,M,43,$80K - $120K,Blue,3,29
720076458,0,0.7757203639259858,349,9,F,42,Less than $40K,Blue,2,86
807141183,0,0.774624423569212,350,9,F,40,Less than $40K,Blue,2,85
789435783,0,0.7744471002385362,351,9,F,39,Less than $40K,Blue,3,47
795784008,1,0.7721481125552181,352,9,M,26,Less than $40K,Silver,1,68
713822208,1,0.7716658804988706,353,9,F,50,Less than $40K,Blue,2,88
718913358,1,0.77065271516678,354,9,M,53,$80K - $120K,Blue,2,20
710641008,0,0.7686795437153235,355,9,F,37,$40K - $60K,Blue,3,86
826245858,1,0.767563750335151,356,9,M,49,$60K - $80K,Blue,3,35
713639058,1,0.7662530271872474,357,9,F,36,Unknown,Blue,2,37
714983283,1,0.7660270751075682,358,9,F,52,Less than $40K,Blue,2,59
718803333,0,0.765928004454595,359,9,F,35,Unknown,Blue,2,56
780384483,1,0.7652214494071029,360,9,F,36,Less than $40K,Blue,4,76
778747608,0,0.7651218089520292,361,9,M,50,$120K +,Blue,1,36
798022683,1,0.7635272779740905,362,9,M,45,$60K - $80K,Blue,2,77
720673008,0,0.7621813199389958,363,9,M,39,$60K - $80K,Blue,1,47
721502958,0,0.761144736049123,364,9,F,47,Unknown,Blue,1,72
716462658,0,0.760975864419587,365,9,M,41,$60K - $80K,Blue,2,61
